,symbol,name,publish_date,abbreviation
1,399382,1000材料,2011-12-02,1000cl
2,399630,1000成长,2011-09-01,1000cz
3,399383,1000工业,2011-12-02,1000gy
4,399390,1000公用,2011-12-02,1000gy
5,399387,1000金融,2011-12-02,1000jr
6,399631,1000价值,2011-09-01,1000jz
7,399384,1000可选,2011-12-02,1000kx
8,399381,1000能源,2011-12-02,1000ny
9,399385,1000消费,2011-12-02,1000xf
10,399388,1000信息,2011-12-02,1000xx
11,399386,1000医药,2011-12-02,1000yy
12,399645,100低波,2012-06-12,100db
13,399656,100绩效,2012-11-19,100jx
14,sh.000129,180波动,2012-01-09,180bd
15,sh.000028,180成长,2009-01-09,180cz
16,sh.000136,180低贝,2012-08-06,180db
17,sh.000051,180等权,2011-05-24,180dq
18,sh.000123,180动态,2013-02-08,180dt
19,sh.000093,180分层,2011-05-24,180fc
20,sh.000135,180高贝,2012-08-06,180gb
21,sh.000149,180红利,2012-07-20,180hl
22,sh.000053,180基本,2012-01-09,180jb
23,sh.000025,180基建,2008-12-15,180jj
24,sh.000018,180金融,2007-12-10,180jr
25,sh.000029,180价值,2009-01-09,180jz
26,sh.000030,180R成长,2009-01-09,180rcz
27,sh.000031,180R价值,2009-01-09,180rjz
28,sh.000125,180稳定,2013-02-08,180wd
29,sh.000027,180运输,2008-12-15,180ys
30,sh.000021,180治理,2008-09-10,180zl
31,sh.000026,180资源,2008-12-15,180zy
32,sh.000803,300波动,2012-01-09,300bd
33,399909,沪深300原材料指数,2007-07-02,300cl
34,sh.000909,300材料,2007-07-02,300cl
35,sh.000918,300成长,2008-01-21,300cz
36,399918,沪深300成长指数,2008-01-21,300cz
37,sh.000829,300低贝,2012-08-06,300db
38,sh.000952,300地产,2009-10-28,300dc
39,399952,沪深300地产指数,2009-10-28,300dc
40,sh.000984,300等权,2011-08-02,300dq
41,sh.000843,300动态,2013-01-07,300dt
42,sh.000916,300电信,2007-07-02,300dx
43,399916,沪深300电信业务指数,2007-07-02,300dx
44,sh.000981,300分层,2011-06-13,300fc
45,399981,沪深300行业分层等权重指数,2011-06-13,300fc
46,sh.000849,沪深300非银行金融指数,2012-12-21,300fy
