,index_code,display_name,publish_date
0,sh.000001,上证指数,1991-07-15
1,sh.000002,A股指数,1992-02-21
2,sh.000003,B股指数,1992-02-21
3,sh.000004,工业指数,1993-05-03
4,sh.000005,商业指数,1993-05-03
5,sh.000006,地产指数,1993-05-03
6,sh.000007,公用指数,1993-05-03
7,sh.000008,综合指数,1993-05-03
8,sh.000009,上证380,2010-11-29
9,sh.000010,上证180,2002-07-01
10,sh.000011,基金指数,2000-06-09
11,sh.000012,国债指数,2003-01-02
12,sh.000013,上证企业债指数,2003-06-09
13,sh.000015,红利指数,2005-01-04
14,sh.000016,上证50,2004-01-02
15,sh.000017,新综指,2006-01-04
16,sh.000018,180金融,2007-12-10
17,sh.000019,治理指数,2008-01-02
18,sh.000020,中型综指,2008-05-12
19,sh.000021,180治理,2008-09-10
20,sh.000022,上证公司债指数,2008-11-19
21,sh.000025,180基建,2008-12-15
22,sh.000026,180资源,2008-12-15
23,sh.000027,180运输,2008-12-15
24,sh.000028,180成长,2009-01-09
25,sh.000029,180价值,2009-01-09
26,sh.000030,180R成长,2009-01-09
27,sh.000031,180R价值,2009-01-09
28,sh.000032,上证能源,2009-01-09
29,sh.000033,上证材料,2009-01-09
30,sh.000034,上证工业,2009-01-09
31,sh.000035,上证可选,2009-01-09
32,sh.000036,上证消费,2009-01-09
33,sh.000037,上证医药,2009-01-09
34,sh.000038,上证金融,2009-01-09
35,sh.000039,上证信息,2009-01-09
36,sh.000040,上证电信,2009-01-09
37,sh.000041,上证公用,2009-01-09
38,sh.000042,上证央企,2009-03-30
39,sh.000043,超大盘,2009-04-23
40,sh.000044,上证中盘,2009-07-03
41,sh.000045,上证小盘,2009-07-03
42,sh.000046,上证中小,2009-07-03
43,sh.000047,上证全指,2009-07-03
44,sh.000048,责任指数,2009-08-05
45,sh.000049,上证民企,2009-08-25
46,sh.000050,50等权,2011-01-04
47,sh.000051,180等权,2011-05-24
48,sh.000052,50基本,2012-01-09
49,sh.000053,180基本,2012-01-09
50,sh.000054,上证海外,2010-01-04
51,sh.000055,上证地企,2010-01-04
52,sh.000056,上证国企,2010-01-04
53,sh.000057,全指成长,2010-01-04
54,sh.000058,全指价值,2010-01-04
55,sh.000059,全R成长,2010-01-04
56,sh.000060,全R价值,2010-01-04
57,sh.000061,沪企债30,2010-01-04
58,sh.000062,上证沪企,2010-01-04
59,sh.000063,上证周期,2010-02-03
60,sh.000064,非周期,2010-02-03
61,sh.000065,上证龙头,2010-02-09
62,sh.000066,上证商品,2010-04-30
63,sh.000067,上证新兴,2010-04-30
64,sh.000068,上证资源,2010-05-28
65,sh.000069,消费80,2010-05-28
66,sh.000070,能源等权,2010-08-18
67,sh.000071,材料等权,2010-08-18
68,sh.000072,工业等权,2010-08-18
69,sh.000073,可选等权,2010-08-18
70,sh.000074,消费等权,2010-08-18
71,sh.000075,医药等权,2010-08-18
72,sh.000076,金融等权,2010-08-18
73,sh.000077,信息等权,2010-08-18
74,sh.000078,电信等权,2010-08-18
75,sh.000079,公用等权,2010-08-18
76,sh.000090,上证流通,2010-12-02
77,sh.000091,沪财中小,2011-04-06
78,sh.000092,资源50,2011-05-10
79,sh.000093,180分层,2011-05-24
80,sh.000094,上证上游,2011-05-10
81,sh.000095,上证中游,2011-05-10
82,sh.000096,上证下游,2011-05-10
83,sh.000097,高端装备,2011-05-24
84,sh.000098,上证F200,2011-07-01
85,sh.000099,上证F300,2011-07-01
86,sh.000100,上证F500,2011-07-01
87,sh.000101,5年信用,2013-04-01
88,sh.000102,沪投资品,2011-06-13
89,sh.000103,沪消费品,2011-06-13
90,sh.000104,380能源,2011-06-13
91,sh.000105,380材料,2011-06-13
92,sh.000106,380工业,2011-06-13
93,sh.000107,380可选,2011-06-13
94,sh.000108,380消费,2011-06-13
95,sh.000109,380医药,2011-06-13
96,sh.000110,380金融,2011-06-13
97,sh.000111,380信息,2011-06-13
98,sh.000112,380电信,2011-06-13
99,sh.000113,380公用,2011-06-13
100,sh.000114,持续产业,2011-08-22
101,sh.000115,380等权,2011-08-12
102,sh.000116,信用100,2013-02-26
103,sh.000117,380成长,2011-10-18
104,sh.000118,380价值,2011-10-18
105,sh.000119,380R成长,2011-10-18
106,sh.000120,380R价值,2011-10-18
107,sh.000121,医药主题,2011-10-18
108,sh.000122,农业主题,2011-10-18
109,sh.000123,180动态,2013-02-08
110,sh.000125,180稳定,2013-02-08
111,sh.000126,消费50,2011-12-09
112,sh.000128,380基本,2012-01-09
113,sh.000129,180波动,2012-01-09
114,sh.000130,380波动,2012-01-09
115,sh.000131,上证高新,2012-02-10
116,sh.000132,上证100,2012-04-20
117,sh.000133,上证150,2012-04-20
118,sh.000134,上证银行,2012-05-29
119,sh.000135,180高贝,2012-08-06
120,sh.000136,180低贝,2012-08-06
121,sh.000137,380高贝,2012-08-06
122,sh.000138,380低贝,2012-08-06
123,sh.000139,上证转债,2012-09-12
124,sh.000141,380动态,2013-02-08
125,sh.000142,380稳定,2013-02-08
126,sh.000145,优势资源,2012-05-29
127,sh.000146,优势制造,2012-05-29
128,sh.000147,优势消费,2012-05-29
129,sh.000148,消费领先,2012-05-29
130,sh.000149,180红利,2012-07-20
131,sh.000150,380红利,2012-07-20
132,sh.000151,上国红利,2012-07-20
133,sh.000152,上央红利,2012-07-20
134,sh.000153,上民红利,2012-07-20
135,sh.000155,市值百强,2012-07-20
136,sh.000158,上证环保,2012-09-25
137,sh.000159,上证沪股通指数,2014-11-17
138,sh.000160,上证一带一路主题指数,2015-06-24
139,sh.000161,上证中国制造2025主题指数,2015-10-29
140,sh.000162,上证互联网+主题指数,2015-10-29
141,sh.000171,新兴成指,2017-01-25
142,sh.000188,中国波指,2016-11-28
143,sh.000300,沪深300,2005-04-08
144,sh.000682,科创信息,2021-08-16
145,sh.000683,科创生物,2022-05-09
146,sh.000685,科创芯片,2022-06-13
147,sh.000687,科创高装,2022-08-15
148,sh.000688,科创50,2020-07-23
149,sh.000689,科创材料,2022-08-15
150,sh.000801,资源80,2011-11-08
151,sh.000802,500沪市,2011-11-08
152,sh.000803,300波动,2012-01-09
153,sh.000804,500波动,2012-01-09
154,sh.000805,A股资源,2012-01-06
155,sh.000806,消费服务,2012-02-10
156,sh.000807,食品饮料,2012-02-17
157,sh.000808,医药生物,2012-02-17
158,sh.000809,细分农业,2012-04-11
159,sh.000810,细分能源,2012-04-11
160,sh.000811,细分有色,2012-04-11
161,sh.000812,细分机械,2012-04-11
162,sh.000813,细分化工,2012-04-11
163,sh.000814,细分医药,2012-04-11
164,sh.000815,细分食品,2012-04-11
165,sh.000816,细分地产,2012-04-11
166,sh.000817,兴证海峡,2011-09-27
167,sh.000818,细分金融,2012-04-11
168,sh.000819,有色金属,2012-05-09
169,sh.000820,煤炭指数,2012-05-09
170,sh.000821,300红利,2012-07-20
171,sh.000822,500红利,2012-07-20
172,sh.000823,中证800有色金属指数,2012-12-21
173,sh.000824,国企红利,2012-07-20
174,sh.000825,央企红利,2012-07-20
175,sh.000826,民企红利,2012-07-20
176,sh.000827,中证环保,2012-09-25
177,sh.000828,300高贝,2012-08-06
178,sh.000829,300低贝,2012-08-06
179,sh.000830,500高贝,2012-08-06
180,sh.000831,500低贝,2012-08-06
181,sh.000832,中证转债,2012-09-12
182,sh.000833,中高企债,2012-09-10
183,sh.000838,创业价值,2012-09-26
184,sh.000839,浙企综指,2012-11-09
185,sh.000840,浙江民企,2012-11-09
186,sh.000841,800医药,2012-12-21
187,sh.000842,800等权,2012-12-21
188,sh.000843,300动态,2013-01-07
189,sh.000844,300稳定,2013-01-07
190,sh.000846,ESG100,2012-10-16
191,sh.000847,中证腾安价值100指数,2013-11-18
192,sh.000849,沪深300非银行金融指数,2012-12-21
193,sh.000850,沪深300有色金属指数,2012-12-21
194,sh.000851,中证百度百发策略100指数,2014-07-30
195,sh.000852,中证1000指数,2014-10-17
196,sh.000853,中证申万一带一路主题投资指数,2015-04-23
197,sh.000854,500原料,2013-11-06
198,sh.000855,央视财经500指数,2014-11-03
199,sh.000856,500工业,2013-11-06
200,sh.000857,500医药,2013-11-06
201,sh.000858,500信息,2013-11-06
202,sh.000891,中国战略新兴产业综合指数,2017-01-25
203,sh.000901,小康指数,2010-04-01
204,sh.000902,中证流通,2006-02-27
205,sh.000903,中证100,2006-05-29
206,sh.000904,中证200,2007-01-15
207,sh.000905,中证500,2007-01-15
208,sh.000906,中证800,2007-01-15
209,sh.000907,中证700,2007-01-15
210,sh.000908,300能源,2007-07-02
211,sh.000909,300材料,2007-07-02
212,sh.000910,300工业,2007-07-02
213,sh.000911,300可选,2007-07-02
214,sh.000912,300消费,2007-07-02
215,sh.000913,300医药,2007-07-02
216,sh.000914,300金融,2007-07-02
217,sh.000915,300信息,2007-07-02
218,sh.000916,300电信,2007-07-02
219,sh.000917,300公用,2007-07-02
220,sh.000918,300成长,2008-01-21
221,sh.000919,300价值,2008-01-21
222,sh.000920,300R成长,2008-01-21
223,sh.000921,300R价值,2008-01-21
224,sh.000922,中证红利,2008-05-26
225,sh.000923,公司债,2008-11-19
226,sh.000925,基本面50,2009-02-26
227,sh.000926,中证央企,2009-03-30
228,sh.000927,央企100,2009-03-30
