代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
002362,汉王科技,31.72,1.02,6.9,452077024.88,-0.13,-128.36,7754101371.0,6562813949.0,104.25,58.68,142763.0,32.17,31.08,31.65,31.4
688787,海天瑞声,168.5,-0.18,7.64,369470018.0,0.15,244.21,7211800000.0,4826033270.0,182.29,144.98,21893.0,172.99,165.0,170.5,168.81
300229,拓尔思,22.39,-1.02,5.18,928484608.1,-0.49,128.52,17778318132.0,17747330573.0,91.04,77.56,410326.0,23.18,22.31,23.11,22.62
688327,云从科技-UW,27.49,0.88,6.07,141719504.0,0.0,-23.94,20361033749.0,2325409339.0,79.56,55.49,51314.0,28.06,27.09,27.83,27.25
002230,科大讯飞,48.81,1.37,2.0,2096246057.73,0.21,202.37,113389746294.0,103877043906.0,48.67,47.2,425309.0,50.38,48.48,49.2,48.15
300418,昆仑万维,25.1,1.99,4.99,1337156763.1,-0.36,25.6,29824289470.0,27097595046.0,74.18,79.8,539180.0,25.54,23.86,25.2,24.61
601360,三六零,11.77,-3.29,3.48,2938204678.0,-0.42,-32.11,84100924829.0,84100924829.0,79.97,71.57,2483087.0,12.2,11.6,12.11,12.17
000977,浪潮信息,32.11,-0.19,4.29,2021287156.86,-0.06,22.8,46999712559.0,46940194715.0,49.21,44.06,627613.0,32.95,31.81,32.85,32.17
688039,当虹科技,64.48,-5.23,7.48,384111992.0,0.23,-52.42,5178807920.0,5178807920.0,71.22,74.6,60060.0,69.5,61.55,69.5,68.04
688256,寒武纪-U,104.89,1.94,2.8,703155570.0,0.1,-36.04,42041448639.0,25402852304.0,92.25,56.86,67804.0,106.19,101.95,102.0,102.89
000681,视觉中国,15.15,0.4,4.36,392098797.68,-0.13,99.09,10613748155.0,8851613856.0,23.17,23.88,254505.0,15.83,15.05,15.28,15.09
300459,汤姆猫,5.79,3.21,9.91,1708387664.71,0.0,38.13,20356545337.0,17374534774.0,83.81,78.7,2975061.0,5.88,5.61,5.75,5.61
300364,中文在线,11.95,-1.89,4.88,383919679.09,0.0,-53.14,8722778435.0,7768113107.0,20.46,31.32,317300.0,12.52,11.86,12.31,12.18
300624,万兴科技,61.54,-2.33,12.31,857206885.0,0.2,245.94,7994049015.0,6926273399.0,109.6,99.29,138587.0,65.99,59.44,65.06,63.01
300058,蓝色光标,7.0,2.49,9.24,1498158009.4,0.14,430.54,17437264838.0,16233087640.0,38.61,35.66,2142998.0,7.24,6.72,6.99,6.83
