代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
603282,N亚光,25.92,44.0,0.06,411998.0,20.0,20.7,3468614400.0,868320000.0,44.0,44.0,190.0,25.92,21.6,21.6,18.0
688121,卓然股份,23.0,1.55,0.0,25099.0,3.0,25.85,4661333341.0,3206770952.0,-5.89,-1.41,11.0,23.0,22.33,22.33,22.65
688260,昀冢科技,16.55,1.22,0.01,102337.0,3.12,-30.82,1986000000.0,1102499103.0,18.98,11.37,62.0,16.55,16.05,16.05,16.35
603730,岱美股份,18.49,2.72,0.0,172107.0,3.24,26.86,17412775503.0,17412775503.0,14.99,12.88,95.0,18.49,17.84,17.91,18.0
688226,威腾电气,22.76,1.7,0.01,208028.0,3.03,50.3,3550560000.0,1873421120.0,-13.33,-4.37,94.0,22.76,22.09,22.09,22.38
002301,齐心集团,7.43,4.65,0.07,3417109.0,3.19,28.16,5359317942.0,5334667357.0,10.73,5.69,4685.0,7.43,7.2,7.2,7.1
605155,西大门,14.8,3.71,0.18,1246972.0,4.37,22.8,1989120000.0,693187600.0,13.76,4.67,855.0,14.99,14.18,14.18,14.27
605339,南侨食品,25.86,9.72,0.96,16431194.0,3.61,68.92,11067475290.0,1753070657.0,13.67,13.97,6524.0,25.89,24.96,24.96,23.57
300235,方直科技,15.29,7.45,0.81,16289512.0,3.45,69.63,2566137366.0,2053106981.0,47.3,33.65,10919.0,15.29,14.75,14.78,14.23
300559,佳发教育,12.69,4.1,0.07,2708861.0,3.0,42.48,5069839855.0,3832063803.0,27.79,26.9,2166.0,12.69,12.31,12.32,12.19
300785,值得买,45.51,0.69,0.25,8499634.0,3.41,172.58,6052217026.0,3425278202.0,34.64,49.21,1909.0,45.52,44.0,44.01,45.2
002443,金洲管道,6.76,6.79,0.39,13612523.0,3.21,15.01,3518820115.0,3509413731.0,7.3,9.39,20470.0,6.87,6.55,6.55,6.33
301330,熵基科技,50.16,3.89,2.03,34920227.35,3.19,41.63,7448361278.0,1761511005.0,55.63,38.22,7114.0,50.16,48.61,48.61,48.28
688111,金山办公,338.38,5.09,0.03,46679688.0,3.8,139.57,156082847316.0,156082847316.0,27.94,28.86,1409.0,338.75,326.0,326.0,321.98
002787,华源控股,8.0,4.17,0.23,4005759.0,3.23,41.45,2527819560.0,1766038896.0,32.67,17.47,5080.0,8.0,7.75,7.75,7.68
300489,光智科技,18.88,4.48,0.15,3834325.0,3.45,-23.54,2570040000.0,2556871200.0,4.31,10.54,2062.0,18.88,18.25,18.25,18.07
300588,熙菱信息,13.21,7.31,1.66,29314569.0,3.12,-39.6,2541221306.0,1801685876.0,43.43,36.61,22625.0,13.22,12.81,12.81,12.31
001207,联科科技,17.94,3.82,1.04,11838885.99,3.04,29.6,3298448400.0,1154587705.0,32.4,24.07,6720.0,17.98,17.41,17.41,17.28
605189,富春染织,22.85,4.29,0.2,1864109.0,3.63,17.51,2851681165.0,950561165.0,23.65,19.2,827.0,22.85,22.05,22.05,21.91
300309,*ST吉艾,1.3,-0.76,0.44,4718906.0,3.17,-2.25,1151960895.0,1088641733.0,-9.09,-21.21,37105.0,1.3,1.26,1.26,1.31
603699,纽威股份,13.46,5.49,0.13,13313049.0,3.14,21.81,10082374520.0,10082374520.0,21.26,20.18,10067.0,13.48,13.05,13.05,12.76
002620,瑞和股份,6.33,4.98,0.49,9480609.41,3.94,-47.18,2389537020.0,1992013374.0,20.8,9.9,15342.0,6.34,6.09,6.09,6.03
300628,亿联网络,70.0,4.12,0.03,11438595.0,3.15,28.9,63113619450.0,36082851560.0,15.53,12.96,1653.0,70.0,67.86,67.86,67.23
301280,珠城科技,55.45,4.72,0.51,4060973.5,3.09,33.16,3611647030.0,817006455.0,16.13,-17.73,748.0,55.45,53.5,53.79,52.95
000921,海信家电,18.99,6.09,0.13,22401511.04,3.88,18.14,25878154776.0,17144785225.0,44.19,38.01,12024.0,19.03,18.22,18.28,17.9
300042,朗科科技,20.58,3.94,0.61,21462726.0,3.11,79.14,4124232000.0,3587641696.0,69.52,55.09,10563.0,20.8,19.93,19.96,19.8
688331,荣昌生物,77.77,3.18,0.12,4052885.0,4.8,-44.14,42327333743.0,3430251241.0,0.36,8.62,540.0,77.77,74.21,74.21,75.37
301318,维海德,58.78,4.85,3.56,35637123.27,3.12,28.24,4080037360.0,1020420800.0,38.31,29.99,6186.0,58.85,56.9,57.0,56.06
300743,天地数码,14.01,4.47,0.37,5066229.0,3.55,53.03,1938556443.0,1402287659.0,21.09,12.44,3704.0,14.09,13.51,13.53,13.41
688659,元琛科技,14.74,3.22,0.25,3172394.0,3.22,90.85,2358400000.0,1273961691.0,-13.95,-30.01,2176.0,14.74,14.28,14.28,14.28
301073,君亭酒店,75.78,-0.26,0.11,3469542.0,3.09,284.22,9823666869.0,3189789883.0,8.1,3.79,461.0,75.78,73.51,73.51,75.98
603269,海鸥股份,17.09,4.33,0.65,12327769.0,3.01,36.53,1922947420.0,1922947420.0,38.38,27.63,7341.0,17.1,16.58,16.59,16.38
000989,九 芝 堂,11.15,3.34,0.31,22120095.4,3.34,18.29,9543753434.0,7336594666.0,26.56,8.78,20143.0,11.15,10.79,10.79,10.79
688117,圣诺生物,36.74,5.3,0.61,10351816.0,3.41,46.67,2939200000.0,1737713824.0,65.35,36.68,2871.0,36.77,35.15,35.53,34.89
301059,金三江,14.8,4.08,0.86,8226314.95,3.28,51.81,3421079200.0,971417995.0,54.49,42.86,5650.0,14.8,14.33,14.33,14.22
300273,*ST和佳,2.87,2.14,0.57,10856855.0,3.24,-4.77,2266814786.0,1955269344.0,42.08,16.19,38668.0,2.87,2.78,2.78,2.81
603998,方盛制药,11.58,3.21,0.27,13368547.0,3.21,14.74,5100423970.0,4972796158.0,44.57,31.74,11712.0,11.58,11.12,11.22,11.22
603108,润达医疗,15.94,4.73,0.57,51218744.0,3.17,22.64,9237916488.0,9237916488.0,57.67,36.94,32761.0,15.94,15.35,15.45,15.22
001368,通达创智,31.12,-4.45,2.58,22039566.2,3.18,26.48,3485440000.0,871360000.0,23.84,23.84,7233.0,31.15,30.13,30.16,32.57
000603,盛达资源,15.95,-0.75,0.78,71891811.03,3.1,37.49,11005011069.0,9391515018.0,26.99,17.45,45719.0,15.95,15.47,15.47,16.07
600976,健民集团,74.83,3.93,0.17,19442777.0,3.36,28.16,11478817238.0,11403927299.0,50.59,44.18,2638.0,74.96,72.4,72.4,72.0
300181,佐力药业,13.87,12.67,1.49,123755154.4,3.2,35.06,9728242336.0,8441626642.0,29.99,22.63,90963.0,13.88,13.43,13.44,12.31
600572,康恩贝,5.65,3.48,0.12,17778336.0,3.67,47.49,14520710852.0,14482619383.0,19.45,11.0,31903.0,5.67,5.45,5.45,5.46
301231,荣信文化,25.2,4.26,1.06,5520496.65,3.49,92.73,2126880000.0,531720000.0,20.11,15.17,2235.0,25.2,24.35,24.35,24.17
002107,沃华医药,6.58,3.79,0.12,4358321.0,3.3,36.0,3798039168.0,3704667139.0,6.13,-12.27,6716.0,6.59,6.37,6.37,6.34
002222,福晶科技,18.48,3.59,0.46,35658051.1,3.18,36.18,7900200000.0,7864948809.0,16.81,14.5,19678.0,18.49,17.9,17.91,17.84
300494,盛天网络,20.29,5.4,1.53,64459634.0,3.1,21.73,5512094983.0,4288358964.0,35.9,36.91,32300.0,20.31,19.56,19.68,19.25
002415,海康威视,40.6,4.37,0.07,249817388.85,3.07,29.64,380175671233.0,369815931390.0,17.07,17.27,62284.0,40.63,39.37,39.39,38.9
300103,达刚控股,6.73,4.18,0.18,2839252.0,3.06,-5.65,2137454730.0,1651699993.0,12.35,1.66,4302.0,6.75,6.52,6.53,6.46
300830,金现代,9.8,4.26,0.85,19713085.0,3.05,-152.43,4215225000.0,2356165000.0,26.29,24.21,20418.0,9.8,9.51,9.51,9.4
000153,丰原药业,9.85,3.79,0.38,11384791.0,3.47,19.4,3271295616.0,3072975716.0,-27.36,-39.94,11772.0,9.88,9.52,9.52,9.49
688621,阳光诺和,113.63,2.64,0.04,2706152.0,3.3,58.29,9090400000.0,6491318284.0,10.97,13.98,243.0,113.63,110.0,110.0,110.71
000681,视觉中国,15.76,4.44,1.06,96328431.8,3.14,103.08,11041100391.0,9208015470.0,28.13,28.86,62043.0,15.78,15.28,15.28,15.09
600877,声光电科,16.14,2.8,0.43,63122466.0,3.13,120.05,19112457301.0,14880748355.0,18.16,6.04,39839.0,16.15,15.56,15.65,15.7
300578,会畅通讯,21.58,14.42,2.7,107367063.2,3.3,61.14,4323547389.0,4160783325.0,39.14,27.32,52049.0,21.59,19.77,20.89,18.86
600165,宁科生物,6.13,4.43,0.22,8958454.0,3.55,-146.99,4198337541.0,4198337541.0,-9.32,-20.6,14905.0,6.14,5.91,5.92,5.87
002035,华帝股份,6.65,3.74,0.17,8271731.0,3.26,15.07,5636896560.0,5020117213.0,20.04,7.78,12687.0,6.65,6.43,6.44,6.41
000890,法尔胜,5.98,-0.83,5.98,145548731.0,3.46,-42.85,2508633729.0,2508633729.0,55.32,43.06,250757.0,5.98,5.63,5.78,6.03
605100,华丰股份,14.87,6.44,0.82,9119098.0,4.28,82.82,2526888840.0,1142491840.0,13.6,5.39,6281.0,14.92,14.1,14.26,13.97
688155,先惠技术,53.33,3.27,0.19,3360935.0,3.23,-43.49,4089138333.0,1773526481.0,1.99,-7.77,638.0,53.35,51.66,51.66,51.64
688619,罗普特,18.2,2.25,0.59,9404338.0,3.29,-15.53,3415147645.0,1629299854.0,76.02,56.76,5279.0,18.21,17.62,17.62,17.8
688525,佰维存储,36.7,3.67,2.76,34510417.0,3.23,215.86,15793079291.0,1276663926.0,128.52,162.33,9614.0,36.8,35.38,35.55,35.4
600306,ST商城,8.75,2.58,0.06,932691.0,3.18,-24.16,2026280533.0,1552884778.0,2.94,-11.35,1082.0,8.75,8.48,8.48,8.53
001298,好上好,44.43,5.66,13.0,135519148.78,3.33,28.09,4265280000.0,1066320000.0,24.52,7.14,31198.0,44.44,42.5,43.0,42.05
000506,中润资源,4.23,1.44,3.99,153356658.14,3.17,14.16,3929745129.0,3928278165.0,30.96,24.05,370113.0,4.24,4.04,4.17,4.17
837242,建邦科技,8.66,0.58,0.01,18783.0,3.1,10.57,538097760.0,289769879.0,1.41,-2.91,22.0,8.66,8.4,8.4,8.61
688420,美腾科技,49.48,5.93,1.18,11553313.0,3.08,35.1,4375516400.0,1003921541.0,21.22,4.76,2387.0,49.48,47.4,47.88,46.71
688328,深科达,26.74,3.04,1.03,12910987.0,3.44,-60.75,2167009600.0,1286416343.0,29.43,31.72,4947.0,26.77,25.75,25.77,25.95
600190,锦州港,3.96,-1.25,0.67,46427256.0,3.13,76.78,7929074340.0,7046758739.0,12.18,22.98,119539.0,3.96,3.83,3.89,4.01
